STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUS,Australia,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2019,,0,,A,Normal value,0,Units,4300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUS,Australia,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2020,,0,,A,Normal value,0,Units,4300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUS,Australia,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2021,,0,,A,Normal value,0,Units,4300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUS,Australia,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2022,,0,,A,Normal value,0,Units,4300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUS,Australia,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2020,,0,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2001,,0,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2002,,0,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2003,,0,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2004,,0,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2005,,0,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
