treated,diff,absdiff,is_che
"BEL",.42534213,.42534213,0
"FRA",.38049528,.38049528,0
"JPN",.27125695,.27125695,0
"KOR",.15476719,.15476719,0
"NLD",.14900962,.14900962,0
"FIN",.14872952,.14872952,0
"DNK",.1122545,.1122545,0
"USA",.10447399,.10447399,0
"ESP",.1037893,.1037893,0
"GBR",.09454606,.09454606,0
"CHE",.08741912,.08741912,1
"DEU",.04668038,.04668038,0
"GRC",.04238554,.04238554,0
"IRL",.03749938,.03749938,0
"LUX",.01658537,.01658537,0
"ISL",.00357636,.00357636,0
"NOR",-.05378154,.05378154,0
"CHL",-.0678487,.0678487,0
"ITA",-.07354403,.07354403,0
"SWE",-.07709194,.07709194,0
"HUN",-.0800213,.0800213,0
"PRT",-.08172912,.08172912,0
"AUT",-.08238269,.08238269,0
"SVN",-.09870953,.09870953,0
"POL",-.09908549,.09908549,0
"CZE",-.09940644,.09940644,0
"TUR",-.10146049,.10146049,0
"LVA",-.1025242,.1025242,0
"NZL",-.10815173,.10815173,0
"SVK",-.11187748,.11187748,0
"CAN",-.11266442,.11266442,0
"LTU",-.11510528,.11510528,0
"MEX",-.11882658,.11882658,0
"EST",-.11891995,.11891995,0
"AUS",-.11891995,.11891995,0
"CRI",-.11891995,.11891995,0
"ISR",-.11891995,.11891995,0
"COL",-.11891995,.11891995,0
