treated,diff,absdiff,is_che
"JPN",1.0654118,1.0654118,0
"BEL",.90353895,.90353895,0
"KOR",.81578846,.81578846,0
"FRA",.78314732,.78314732,0
"USA",.50178988,.50178988,0
"CHE",.4466867,.4466867,1
"NLD",.37412509,.37412509,0
"GBR",.31362564,.31362564,0
"ESP",.31320299,.31320299,0
"FIN",.26976088,.26976088,0
"IRL",.21394957,.21394957,0
"GRC",.17686128,.17686128,0
"DNK",.15061848,.15061848,0
"DEU",.09649605,.09649605,0
"LUX",.01855286,.01855286,0
"ISL",-.00194213,.00194213,0
"CHL",-.09594044,.09594044,0
"NOR",-.19405938,.19405938,0
"PRT",-.22567439,.22567439,0
"ITA",-.24125319,.24125319,0
"HUN",-.2526694,.2526694,0
"SWE",-.26321704,.26321704,0
"AUT",-.26542028,.26542028,0
"TUR",-.27174195,.27174195,0
"CZE",-.2943388,.2943388,0
"POL",-.29450168,.29450168,0
"LVA",-.29834254,.29834254,0
"SVN",-.29928957,.29928957,0
"NZL",-.32211083,.32211083,0
"SVK",-.33251401,.33251401,0
"CAN",-.33376474,.33376474,0
"LTU",-.3400806,.3400806,0
"MEX",-.35212259,.35212259,0
"CRI",-.35291448,.35291448,0
"AUS",-.35291448,.35291448,0
"EST",-.35291448,.35291448,0
"ISR",-.35291448,.35291448,0
"COL",-.35291448,.35291448,0
