country_code,country_name,avg_4300_pct_gdp,avg_4300_share_total,avg_4300_share_4000,avg_4200_share_4000
"AUS","Australia",0,0,0,0
"AUT","Austria",.0004,.00093658,.06934813,0
"BEL","Belgium",.6638,1.5591676,19.470844,5.9544761
"CAN","Canada",.016,.0471523,.41755833,.52194791
"CHE","Switzerland",.1778,.64561108,8.2056489,63.393022
"CHL","Chile",.091,.42242276,7.7288942,0
"COL","Colombia",0,0,0,3.8237739
"CRI","Costa Rica",0,0,0,0
"CZE","Czechia",0,0,0,0
"DEU","Germany",.233,.59256773,20.11395,3.6947514
"DNK","Denmark",.2738,.60040963,14.649545,0
"ESP","Spain",.2418,.66591391,9.4276357,7.4703681
"EST","Estonia",0,0,0,0
"FIN","Finland",.322,.75618806,21.943574,0
"FRA","France",.6772,1.490855,17.310838,2.1267894
"GBR","United Kingdom",.252,.75126552,6.3335679,0
"GRC","Greece",.1062,.2647072,3.5738323,22.028537
"HUN","Hungary",.0196,.05505896,2.1175454,13.202247
"IRL","Ireland",.1362,.66201345,12.352621,0
"ISL","Iceland",.2394,.6734594,11.91519,.04977105
"ISR","Israel",0,0,0,0
"ITA","Italy",.043,.10147109,1.7542428,.91383812
"JPN","Japan",.4566,1.3896328,17.348024,0
"KOR","Korea",.5504,1.9191743,14.937849,0
"LTU","Lithuania",.0044,.01417992,1.4784946,0
"LUX","Luxembourg",.1632,.42153115,4.2383005,74.227393
"LVA","Latvia",.0384,.12410557,4.2818912,0
"MEX","Mexico",0,0,0,0
"NLD","Netherlands",.2464,.64177029,15.919369,0
"NOR","Norway",.0014,.00345505,.12444444,41.617778
"NZL","New Zealand",0,0,0,0
"OECD_REP","OECD average country",.1356,.40251244,7.4179431,8.785558
"POL","Poland",.015,.04240235,1.1878366,0
"PRT","Portugal",0,0,0,0
"SVK","Slovak Republic",0,0,0,0
"SVN","Slovenia",.025,.06649431,4.0743155,0
"SWE","Sweden",0,0,0,0
"TUR","Türkiye",.0252,.1097647,2.6481715,0
"USA","United States",.1318,.50815829,4.4542075,0
