country_code,country_name,sh_inherit_or_resid,sh_gifts_or_resid,sh_gifts_reported,note
"AUT","Austria",,,,"No separate gifts series (4320 not reported)"
"BEL","Belgium",81.108768,18.891232,18.891232,""
"CAN","Canada",100,0,0,""
"CHE","Switzerland",100,0,,"No separate gifts series (4320 not reported)"
"CHL","Chile",,,,"No separate gifts series (4320 not reported)"
"DEU","Germany",87.993139,12.006861,12.017167,""
"DNK","Denmark",,,,"No separate gifts series (4320 not reported)"
"ESP","Spain",,,,"No separate gifts series (4320 not reported)"
"FIN","Finland",81.032338,18.967662,18.944099,""
"FRA","France",82.049011,17.950989,17.956291,""
"GBR","United Kingdom",100,0,0,""
"GRC","Greece",,,,"No separate gifts series (4320 not reported)"
"HUN","Hungary",83.505155,16.494845,16.326531,""
"IRL","Ireland",94.705882,5.2941176,5.2863436,""
"ISL","Iceland",100,0,0,""
"ITA","Italy",,,,"No separate gifts series (4320 not reported)"
"JPN","Japan",,,,"No separate gifts series (4320 not reported)"
"KOR","Korea",43.620502,56.379498,56.359012,""
"LTU","Lithuania",100,0,0,""
"LUX","Luxembourg",100,0,0,""
"LVA","Latvia",100,0,0,""
"NLD","Netherlands",100,0,0,""
"NOR","Norway",100,0,0,""
"POL","Poland",,,,"No separate gifts series (4320 not reported)"
"SVN","Slovenia",,,,"No separate gifts series (4320 not reported)"
"TUR","Türkiye",,,,"No separate gifts series (4320 not reported)"
"USA","United States",,,,"No separate gifts series (4320 not reported)"
