country_code,country_name
AUS,Australia
AUT,Austria
BEL,Belgium
CAN,Canada
CHE,Switzerland
CHL,Chile
COL,Colombia
CRI,Costa Rica
CZE,Czechia
DEU,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRA,France
GBR,United Kingdom
GRC,Greece
HUN,Hungary
IRL,Ireland
ISL,Iceland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,Korea
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
MEX,Mexico
NLD,Netherlands
NOR,Norway
NZL,New Zealand
OECD_REP,OECD average country
POL,Poland
PRT,Portugal
SVK,Slovak Republic
SVN,Slovenia
SWE,Sweden
TUR,Türkiye
USA,United States
