country_code,country_name,years_obs,years_min,years_max,miss_total,miss_4000,miss_4200,miss_4300,miss_4310,miss_4320
AUS,Australia,33,1990,2022,0,0,0,0,33,33
AUT,Austria,33,1990,2022,0,0,0,0,33,33
BEL,Belgium,33,1990,2022,0,0,0,0,0,0
CAN,Canada,33,1990,2022,0,0,0,0,6,6
CHE,Switzerland,33,1990,2022,0,0,0,0,0,33
CHL,Chile,33,1990,2022,0,0,0,0,33,33
COL,Colombia,33,1990,2022,0,0,0,0,33,33
CRI,Costa Rica,33,1990,2022,0,0,0,0,33,33
CZE,Czechia,30,1993,2022,0,0,0,0,2,2
DEU,Germany,33,1990,2022,0,0,0,0,0,0
DNK,Denmark,33,1990,2022,0,0,0,0,33,33
ESP,Spain,33,1990,2022,0,0,0,0,33,33
EST,Estonia,28,1995,2022,0,0,0,0,28,28
FIN,Finland,33,1990,2022,0,0,0,0,0,0
FRA,France,33,1990,2022,0,0,0,0,0,0
GBR,United Kingdom,33,1990,2022,0,0,0,0,0,0
GRC,Greece,33,1990,2022,0,0,0,0,28,28
HUN,Hungary,32,1991,2022,0,0,0,0,0,0
IRL,Ireland,33,1990,2022,0,0,0,0,0,0
ISL,Iceland,33,1990,2022,0,0,0,0,0,0
ISR,Israel,28,1995,2022,0,0,0,0,28,28
ITA,Italy,33,1990,2022,0,0,0,0,33,33
JPN,Japan,33,1990,2022,0,0,0,0,33,33
KOR,Korea,33,1990,2022,0,0,0,0,0,0
LTU,Lithuania,28,1995,2022,0,0,0,0,2,2
LUX,Luxembourg,33,1990,2022,0,0,0,0,0,0
LVA,Latvia,28,1995,2022,0,0,0,0,8,8
MEX,Mexico,33,1990,2022,0,0,0,0,25,25
NLD,Netherlands,33,1990,2022,0,0,0,0,0,0
NOR,Norway,33,1990,2022,0,0,0,0,0,0
NZL,New Zealand,33,1990,2022,0,0,0,0,15,15
OECD_REP,OECD average country,33,1990,2022,0,0,0,0,0,0
POL,Poland,32,1991,2022,0,0,0,0,32,32
PRT,Portugal,33,1990,2022,0,0,0,0,4,4
SVK,Slovak Republic,28,1995,2022,0,0,0,0,5,5
SVN,Slovenia,28,1995,2022,0,0,0,0,28,28
SWE,Sweden,33,1990,2022,0,0,0,0,7,7
TUR,Türkiye,33,1990,2022,0,0,0,0,33,33
USA,United States,33,1990,2022,0,0,0,0,33,33
