country_code,country_name,mT,m4000,m4300,T4300_pct_gdp,T4300_share_total_tax_pct,T4300_share_property_tax_pct,property_tax_share_total_tax_pct
KOR,Korea,28.679,3.6846,0.5504,0.5504,1.9191743087276405,14.93784942734625,12.847728302939435
BEL,Belgium,42.574,3.4092000000000002,0.6638,0.6638,1.5591675670597076,19.470843599671475,8.007704232630244
FRA,France,45.4236,3.912,0.6772,0.6772,1.4908549740663444,17.31083844580777,8.612263228806171
JPN,Japan,32.8576,2.632,0.4566,0.4566,1.3896328398909232,17.348024316109424,8.010323334631867
FIN,Finland,42.582,1.4674,0.322,0.322,0.7561880606829177,21.9435736677116,3.4460570193978675
GBR,United Kingdom,33.5434,3.9788,0.252,0.252,0.7512655246635702,6.33356790992259,11.861647894965925
ISL,Iceland,35.5478,2.0092,0.2394,0.2394,0.673459398331261,11.915190125423054,5.652107866028277
ESP,Spain,36.311,2.5648,0.24180000000000001,0.24180000000000001,0.6659139103852827,9.427635683094199,7.063424306683926
IRL,Ireland,20.5736,1.1026,0.1362,0.1362,0.6620134541353968,12.352621077453291,5.3592954077069646
CHE,Switzerland,27.5398,2.1668,0.1778,0.1778,0.6456110792380483,8.205648883145654,7.86788575080429
NLD,Netherlands,38.3938,1.5478,0.2464,0.2464,0.6417702858273993,15.919369427574622,4.0313800665732495
DNK,Denmark,45.6022,1.869,0.2738,0.2738,0.600409629359987,14.649545211342963,4.098486476529641
DEU,Germany,39.3204,1.1584,0.233,0.233,0.5925677256589456,20.11395027624309,2.9460534480829295
USA,United States,25.936799999999998,2.959,0.1318,0.1318,0.5081582924647605,4.45420750253464,11.408500663150429
CHL,Chile,21.5424,1.1774,0.091,0.091,0.42242275698158044,7.728894173602853,5.4655005941770645
LUX,Luxembourg,38.716,3.8506,0.1632,0.1632,0.421531149912181,4.23830052459357,9.9457588593863
OECD_REP,OECD average country,33.6884,1.828,0.1356,0.1356,0.402512437515584,7.4179431072210065,5.426200116360528
GRC,Greece,40.1198,2.9716,0.1062,0.1062,0.264707201930219,3.5738322789069863,7.406816584329932
LVA,Latvia,30.9414,0.8968,0.0384,0.0384,0.124105567298183,4.281891168599464,2.898382102942983
TUR,Türkiye,22.9582,0.9516,0.0252,0.0252,0.1097647028077114,2.648171500630517,4.144924253643579
ITA,Italy,42.3766,2.4512,0.043,0.043,0.10147109489671184,1.7542428198433417,5.784324367693491
SVN,Slovenia,37.5972,0.6136,0.025,0.025,0.06649431340631749,4.074315514993481,1.6320364282446567
HUN,Hungary,35.5982,0.9256,0.0196,0.0196,0.055058963655465726,2.1175453759723424,2.600131467321382
CAN,Canada,33.9326,3.8318,0.016,0.016,0.04715229602211443,0.4175583276788976,11.292385493596129
POL,Poland,35.3754,1.2628,0.015,0.015,0.042402347393951725,1.1878365536902122,3.569712285938816
LTU,Lithuania,31.029799999999998,0.2976,0.0044,0.0044,0.014179917369754236,1.4784946236559142,0.9590780475542866
NOR,Norway,40.5204,1.125,0.0014,0.0014,0.003455049802075004,0.12444444444444445,2.7763793052388426
AUT,Austria,42.7088,0.5768,4e-4,4e-4,9.365751320570937e-4,0.06934812760055478,1.3505413404263291
AUS,Australia,28.6064,2.8398000000000003,0,0,0,0,9.927149169416635
COL,Colombia,19.315,1.6842,0,0,0,0,8.719647942013978
CRI,Costa Rica,23.8324,0.463,0,0,0,0,1.9427334217284036
CZE,Czechia,33.9298,0.2848,0,0,0,0,0.8393801319194337
EST,Estonia,32.754400000000004,0.1968,0,0,0,0,0.6008353076227926
ISR,Israel,31.1104,3.499,0,0,0,0,11.247042789549475
MEX,Mexico,16.4712,0.3318,0,0,0,0,2.0144251784933704
NZL,New Zealand,32.9946,1.9014,0,0,0,0,5.762761179102035
PRT,Portugal,35.103,1.4804,0,0,0,0,4.21730336438481
SVK,Slovak Republic,34.752,0.43420000000000003,0,0,0,0,1.2494244935543277
SWE,Sweden,42.9868,0.9486,0,0,0,0,2.2067239245535837
