country_code,country_name,m4300,m4310,m4320,has_4320,inheritance_share,gifts_share,s,note
KOR,Korea,0.5504,0.24,0.31020000000000003,TRUE,0.4362050163576881,0.563794983642312,0.9996366279069768,
FIN,Finland,0.322,0.2606,0.061,TRUE,0.8103233830845772,0.1896766169154229,0.9987577639751553,
BEL,Belgium,0.6638,0.5384,0.1254,TRUE,0.8110876770111478,0.18891232298885205,1.0000000000000002,
FRA,France,0.6772,0.5558,0.1216,TRUE,0.8204901092412165,0.1795098907587836,1.0002953337271114,
HUN,Hungary,0.0196,0.0162,0.0032,TRUE,0.8350515463917525,0.16494845360824742,0.989795918367347,
DEU,Germany,0.233,0.2052,0.028,TRUE,0.8799313893653515,0.12006861063464837,1.0008583690987125,
IRL,Ireland,0.1362,0.1288,0.0072,TRUE,0.9470588235294118,0.052941176470588235,0.9985315712187959,
CAN,Canada,0.016,0.016,0,TRUE,1,0,1,
CHE,Switzerland,0.1778,0.1778,NA,FALSE,1,0,1,CHE: gifts not separately reported (residual used)
GBR,United Kingdom,0.252,0.252,0,TRUE,1,0,1,
ISL,Iceland,0.2394,0.2394,0,TRUE,1,0,1,
LTU,Lithuania,0.0044,0.0044,0,TRUE,1,0,1,
LUX,Luxembourg,0.1632,0.1632,0,TRUE,1,0,1,
LVA,Latvia,0.0384,0.0384,0,TRUE,1,0,1,
NLD,Netherlands,0.2464,0.2464,0,TRUE,1,0,1,
NOR,Norway,0.0014,0.0014,0,TRUE,1,0,1,
