country_code,country_name,m4000,m4200,m4300,sh_4200_in_4000,sh_4300_in_4000,sh_other_in_4000
CHE,Switzerland,2.1668,1.3736,0.1778,63.3930219678789,8.205648883145654,28.401329148975442
OECD_REP,OECD average country,1.828,0.1606,0.1356,8.785557986870897,7.4179431072210065,83.7964989059081
DEU,Germany,1.1584,0.0428,0.233,3.694751381215469,20.11395027624309,76.19129834254144
FRA,France,3.912,0.0832,0.6772,2.12678936605317,17.31083844580777,80.56237218813905
ITA,Italy,2.4512,0.0224,0.043,0.9138381201044387,1.7542428198433417,97.33191906005221
AUT,Austria,0.5768,0,4e-4,0,0.06934812760055478,99.93065187239945
GBR,United Kingdom,3.9788,0,0.252,0,6.33356790992259,93.66643209007741
NLD,Netherlands,1.5478,0,0.2464,0,15.919369427574622,84.08063057242538
SWE,Sweden,0.9486,0,0,0,0,100
USA,United States,2.959,0,0.1318,0,4.45420750253464,95.54579249746536
