country_code,avg_share,avg_level
KOR,1.9012292492188843,0.5504
BEL,1.5591921599860072,0.6638
FRA,1.4912971407202038,0.6772
JPN,1.3867877064800531,0.4566
FIN,0.7561732153806433,0.322
GBR,0.7508240783258562,0.252
ISL,0.6740342748556574,0.2394
ESP,0.6639128346280103,0.24180000000000001
IRL,0.6611866788520671,0.1362
CHE,0.6457809960582417,0.1778
NLD,0.6418274186277888,0.2464
DNK,0.5994943163913341,0.2738
DEU,0.5925260723513874,0.233
USA,0.5065323396686495,0.1318
LUX,0.42148390269876546,0.1632
CHL,0.4142391597257533,0.091
GRC,0.2649658427429507,0.1062
LVA,0.12412271820620162,0.0384
TUR,0.1095279342822512,0.0252
ITA,0.10148570355904284,0.043
SVN,0.06654297659510326,0.025
HUN,0.054953289356507,0.0196
CAN,0.047126920964793914,0.016
POL,0.042448213039518665,0.015
LTU,0.014158043077977526,0.0044
NOR,0.003498263120263126,0.0014
AUT,9.464991363195381e-4,4e-4
AUS,0,0
COL,0,0
CRI,0,0
CZE,0,0
EST,0,0
ISR,0,0
MEX,0,0
NZL,0,0
PRT,0,0
SVK,0,0
SWE,0,0
